code;level;classificationItemName;
"'619'";1;"Punkalaidun";
"'620'";1;"Puolanka";
"'623'";1;"Puumala";
"'624'";1;"Pyhtää";
"'625'";1;"Pyhäjoki";
"'626'";1;"Pyhäjärvi";
"'630'";1;"Pyhäntä";
"'631'";1;"Pyhäranta";
"'635'";1;"Pälkäne";
"'636'";1;"Pöytyä";
"'678'";1;"Raahe";
"'710'";1;"Raasepori";
"'680'";1;"Raisio";
"'681'";1;"Rantasalmi";
"'683'";1;"Ranua";
"'684'";1;"Rauma";
"'686'";1;"Rautalampi";
"'687'";1;"Rautavaara";
"'689'";1;"Rautjärvi";
"'691'";1;"Reisjärvi";
"'694'";1;"Riihimäki";
"'697'";1;"Ristijärvi";
"'698'";1;"Rovaniemi";
"'700'";1;"Ruokolahti";
"'702'";1;"Ruovesi";
"'704'";1;"Rusko";
"'707'";1;"Rääkkylä";
"'729'";1;"Saarijärvi";
"'732'";1;"Salla";
"'734'";1;"Salo";
"'736'";1;"Saltvik";
"'790'";1;"Sastamala";
"'738'";1;"Sauvo";
"'739'";1;"Savitaipale";
"'740'";1;"Savonlinna";
"'742'";1;"Savukoski";
"'743'";1;"Seinäjoki";
"'746'";1;"Sievi";
"'747'";1;"Siikainen";
"'748'";1;"Siikajoki";
"'791'";1;"Siikalatva";
"'749'";1;"Siilinjärvi";
"'751'";1;"Simo";
"'753'";1;"Sipoo";
"'755'";1;"Siuntio";
"'758'";1;"Sodankylä";
"'759'";1;"Soini";
"'761'";1;"Somero";
"'762'";1;"Sonkajärvi";
"'765'";1;"Sotkamo";
"'766'";1;"Sottunga";
"'768'";1;"Sulkava";
"'771'";1;"Sund";
"'777'";1;"Suomussalmi";
"'778'";1;"Suonenjoki";
"'781'";1;"Sysmä";
"'783'";1;"Säkylä";
"'831'";1;"Taipalsaari";
"'832'";1;"Taivalkoski";
"'833'";1;"Taivassalo";
"'834'";1;"Tammela";
"'837'";1;"Tampere";
"'844'";1;"Tervo";
"'845'";1;"Tervola";
"'846'";1;"Teuva";
"'848'";1;"Tohmajärvi";
"'849'";1;"Toholampi";
"'850'";1;"Toivakka";
"'851'";1;"Tornio";
"'853'";1;"Turku";
"'857'";1;"Tuusniemi";
"'858'";1;"Tuusula";
"'859'";1;"Tyrnävä";
"'886'";1;"Ulvila";
"'887'";1;"Urjala";
"'889'";1;"Utajärvi";
"'890'";1;"Utsjoki";
"'892'";1;"Uurainen";
"'893'";1;"Uusikaarlepyy";
"'895'";1;"Uusikaupunki";
"'785'";1;"Vaala";
"'905'";1;"Vaasa";
"'908'";1;"Valkeakoski";
"'092'";1;"Vantaa";
"'915'";1;"Varkaus";
"'918'";1;"Vehmaa";
"'921'";1;"Vesanto";
"'922'";1;"Vesilahti";
"'924'";1;"Veteli";
"'925'";1;"Vieremä";
"'927'";1;"Vihti";
"'931'";1;"Viitasaari";
"'934'";1;"Vimpeli";
"'935'";1;"Virolahti";
"'936'";1;"Virrat";
"'941'";1;"Vårdö";
"'946'";1;"Vöyri";
"'976'";1;"Ylitornio";
"'977'";1;"Ylivieska";
"'980'";1;"Ylöjärvi";
"'981'";1;"Ypäjä";
"'989'";1;"Ähtäri";
"'992'";1;"Äänekoski";



